order_date,ship_date,ship_mode,segment,country,city,state,region,category,sub_category,sales,quantity,discount,profit
2014-02-20,2014-02-26,Standard Class,Corporate,United States,Richmond,Indiana,Central,Furniture,Furnishings,20.32,4,0.0,6.9088
2014-03-01,2014-03-07,Standard Class,Consumer,United States,Houston,Texas,Central,Furniture,Tables,376.509,3,0.3,-43.0296
2014-03-01,2014-03-06,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764
2014-03-01,2014-03-05,Standard Class,Home Office,United States,Elmhurst,Illinois,Central,Furniture,Chairs,634.116,6,0.3,-172.1172
2014-03-01,2014-03-05,Standard Class,Consumer,United States,El Paso,Texas,Central,Furniture,Chairs,362.25,6,0.3,0.0
2014-03-01,2014-03-05,Standard Class,Consumer,United States,El Paso,Texas,Central,Furniture,Furnishings,63.552,6,0.6,-34.9536
2014-03-03,2014-03-07,Standard Class,Consumer,United States,San Diego,California,West,Furniture,Tables,626.352,3,0.2,-23.4882
2014-03-03,2014-03-08,Standard Class,Corporate,United States,Columbus,Ohio,East,Furniture,Bookcases,302.45,5,0.5,-199.617
2014-03-07,2014-03-12,Standard Class,Corporate,United States,Seattle,Washington,West,Furniture,Chairs,436.704,6,0.2,21.8352
2014-03-07,2014-03-08,First Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,48.712,1,0.2,5.4801
2014-03-07,2014-03-12,Standard Class,Corporate,United States,Seattle,Washington,West,Furniture,Chairs,481.568,2,0.2,54.1764
2014-03-11,2014-03-16,Second Class,Consumer,United States,Columbus,Ohio,East,Furniture,Furnishings,8.32,5,0.2,2.288
2014-03-14,2014-03-19,Standard Class,Home Office,United States,Chesapeake,Virginia,South,Furniture,Chairs,1139.92,4,0.0,284.98
2014-03-15,2014-03-19,Standard Class,Consumer,United States,Tampa,Florida,South,Furniture,Furnishings,45.696,3,0.2,5.1408
2014-03-17,2014-03-21,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Tables,1071.576,4,0.4,-553.6476
2014-03-17,2014-03-21,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Tables,613.908,3,0.4,-122.7816
2014-03-17,2014-03-21,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Tables,1579.746,7,0.4,-447.5947
2014-03-18,2014-03-21,Second Class,Home Office,United States,San Francisco,California,West,Furniture,Bookcases,1198.33,10,0.15,70.49
2014-03-18,2014-03-24,Standard Class,Home Office,United States,Burbank,California,West,Furniture,Furnishings,111.0,2,0.0,14.43
2014-03-18,2014-03-23,Standard Class,Home Office,United States,Jacksonville,Florida,South,Furniture,Furnishings,30.768,2,0.2,8.0766
2014-03-18,2014-03-23,Standard Class,Home Office,United States,Jacksonville,Florida,South,Furniture,Furnishings,122.352,3,0.2,15.294
2014-03-19,2014-03-21,First Class,Corporate,United States,Lakeland,Florida,South,Furniture,Furnishings,20.016,3,0.2,5.5044
2014-03-19,2014-03-21,First Class,Corporate,United States,Lakeland,Florida,South,Furniture,Furnishings,4.992,3,0.2,1.3728
2014-03-21,2014-03-25,Standard Class,Consumer,United States,Knoxville,Tennessee,South,Furniture,Chairs,218.376,3,0.2,-10.9188
2014-03-21,2014-03-25,Standard Class,Consumer,United States,Knoxville,Tennessee,South,Furniture,Furnishings,32.952,3,0.2,6.5904
2014-03-22,2014-03-26,Standard Class,Corporate,United States,Tucson,Arizona,West,Furniture,Chairs,314.352,3,0.2,-35.3646
2014-03-24,2014-03-29,Second Class,Consumer,United States,Fresno,California,West,Furniture,Furnishings,40.48,2,0.0,14.5728
2014-03-25,2014-04-01,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Chairs,366.786,7,0.1,65.2064
2014-03-28,2014-04-03,Standard Class,Home Office,United States,Springfield,Ohio,East,Furniture,Tables,330.588,1,0.4,-143.2548
2014-03-28,2014-04-02,Standard Class,Consumer,United States,Des Moines,Iowa,Central,Furniture,Tables,1184.72,4,0.0,106.6248
2014-03-29,2014-04-02,Standard Class,Consumer,United States,Plano,Texas,Central,Furniture,Tables,890.841,3,0.3,-152.7156
2014-03-30,2014-04-04,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Bookcases,205.666,2,0.15,-12.098
2014-03-30,2014-04-01,First Class,Home Office,United States,Brownsville,Texas,Central,Furniture,Chairs,127.302,7,0.3,-9.093
2014-03-31,2014-03-31,Same Day,Consumer,United States,Tampa,Florida,South,Furniture,Chairs,1125.488,7,0.2,98.4802
2014-04-02,2014-04-08,Standard Class,Corporate,United States,Virginia Beach,Virginia,South,Furniture,Furnishings,177.68,2,0.0,46.1968
2014-04-04,2014-04-09,Standard Class,Consumer,United States,Detroit,Michigan,Central,Furniture,Furnishings,5.47,1,0.0,2.3521
2014-04-06,2014-04-12,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,91.96,2,0.0,15.6332
2014-04-06,2014-04-12,Standard Class,Corporate,United States,Seattle,Washington,West,Furniture,Tables,653.55,3,0.0,111.1035
2014-04-06,2014-04-08,First Class,Home Office,United States,Philadelphia,Pennsylvania,East,Furniture,Tables,154.764,3,0.4,-36.1116
2014-04-06,2014-04-12,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,33.11,7,0.0,12.9129
2014-04-07,2014-04-10,First Class,Consumer,United States,Mobile,Alabama,South,Furniture,Furnishings,8.96,2,0.0,2.7776
2014-04-08,2014-04-12,Standard Class,Home Office,United States,Concord,California,West,Furniture,Tables,99.592,1,0.2,2.4898
2014-04-08,2014-04-12,Standard Class,Corporate,United States,Decatur,Alabama,South,Furniture,Tables,1215.92,8,0.0,316.1392
2014-04-08,2014-04-12,Standard Class,Consumer,United States,Toledo,Ohio,East,Furniture,Tables,172.11,1,0.4,-94.6605
2014-04-12,2014-04-17,Standard Class,Corporate,United States,Redondo Beach,California,West,Furniture,Bookcases,308.499,3,0.15,-18.147
2014-04-15,2014-04-15,Same Day,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,187.76,4,0.0,76.9816
2014-04-18,2014-04-22,Standard Class,Consumer,United States,Houston,Texas,Central,Furniture,Chairs,317.058,3,0.3,-18.1176
2014-04-19,2014-04-21,Second Class,Home Office,United States,San Jose,California,West,Furniture,Furnishings,76.14,3,0.0,26.649
2014-04-20,2014-04-22,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Tables,744.1,5,0.3,-95.67
2014-04-20,2014-04-22,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Tables,401.59,2,0.3,-131.951
2014-04-20,2014-04-25,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,59.92,4,0.0,27.5632
2014-04-23,2014-04-27,Standard Class,Home Office,United States,Columbus,Ohio,East,Furniture,Chairs,281.372,2,0.3,-12.0588
2014-04-23,2014-04-27,Standard Class,Home Office,United States,Columbus,Ohio,East,Furniture,Chairs,281.372,2,0.3,-12.0588
2014-04-23,2014-04-27,Standard Class,Home Office,United States,Columbus,Ohio,East,Furniture,Furnishings,22.336,4,0.2,7.8176
2014-04-25,2014-04-30,Standard Class,Home Office,United States,San Gabriel,California,West,Furniture,Furnishings,303.25,5,0.0,63.6825
2014-04-25,2014-04-30,Standard Class,Home Office,United States,San Gabriel,California,West,Furniture,Chairs,1487.04,5,0.2,148.704
2014-04-26,2014-05-03,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Chairs,230.28,3,0.2,23.028
2014-04-29,2014-05-01,Second Class,Consumer,United States,Lake Charles,Louisiana,South,Furniture,Chairs,51.96,2,0.0,12.99
2014-04-29,2014-05-03,Standard Class,Corporate,United States,Memphis,Tennessee,South,Furniture,Chairs,561.584,2,0.2,70.198
2014-04-29,2014-05-04,Standard Class,Consumer,United States,Rochester,New York,East,Furniture,Furnishings,17.46,2,0.0,5.9364
2014-05-04,2014-05-04,Same Day,Consumer,United States,Middletown,Connecticut,East,Furniture,Furnishings,27.46,2,0.0,9.8856
2014-05-04,2014-05-07,First Class,Corporate,United States,Seattle,Washington,West,Furniture,Furnishings,12.18,7,0.0,3.8976
2014-05-05,2014-05-08,First Class,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,127.869,3,0.3,-9.1335
2014-05-07,2014-05-12,Standard Class,Consumer,United States,Lawrence,Massachusetts,East,Furniture,Tables,194.25,2,0.3,-38.85
2014-05-07,2014-05-12,Standard Class,Consumer,United States,Lawrence,Massachusetts,East,Furniture,Chairs,872.32,4,0.0,244.2496
2014-05-10,2014-05-15,Standard Class,Consumer,United States,San Jose,California,West,Furniture,Chairs,256.784,1,0.2,32.098
2014-05-10,2014-05-14,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,349.965,7,0.5,-216.9783
2014-05-11,2014-05-16,Standard Class,Consumer,United States,Fort Worth,Texas,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928
2014-05-11,2014-05-16,Standard Class,Corporate,United States,Huntsville,Texas,Central,Furniture,Chairs,1212.96,8,0.3,-69.312
2014-05-12,2014-05-15,First Class,Consumer,United States,Milwaukee,Wisconsin,Central,Furniture,Furnishings,34.79,7,0.0,10.7849
2014-05-12,2014-05-17,Standard Class,Consumer,United States,Franklin,Massachusetts,East,Furniture,Tables,700.056,3,0.3,-130.0104
2014-05-13,2014-05-19,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Chairs,279.456,6,0.2,20.9592
2014-05-14,2014-05-20,Standard Class,Corporate,United States,Saint Petersburg,Florida,South,Furniture,Furnishings,310.88,2,0.2,23.316
2014-05-16,2014-05-23,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Chairs,232.88,5,0.2,17.466
2014-05-18,2014-05-20,Second Class,Consumer,United States,Akron,Ohio,East,Furniture,Furnishings,149.232,3,0.2,3.7308
2014-05-20,2014-05-22,Second Class,Corporate,United States,Dover,New Hampshire,East,Furniture,Furnishings,139.86,7,0.0,60.1398
2014-05-20,2014-05-22,Second Class,Corporate,United States,San Marcos,Texas,Central,Furniture,Furnishings,10.332,3,0.6,-5.9409
2014-05-21,2014-05-23,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Chairs,107.772,2,0.3,-29.2524
2014-05-25,2014-05-29,Standard Class,Consumer,United States,Chicago,Illinois,Central,Furniture,Furnishings,29.32,2,0.6,-24.189
2014-05-26,2014-05-31,Standard Class,Consumer,United States,Chicago,Illinois,Central,Furniture,Chairs,359.772,2,0.3,-5.1396
2014-05-26,2014-05-30,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Bookcases,290.666,2,0.15,27.3568
2014-05-26,2014-05-30,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Chairs,225.296,2,0.2,22.5296
2014-05-27,2014-05-27,Same Day,Corporate,United States,San Diego,California,West,Furniture,Tables,567.12,10,0.2,-28.356
2014-05-30,2014-06-05,Standard Class,Consumer,United States,Buffalo Grove,Illinois,Central,Furniture,Tables,355.455,3,0.5,-184.8366
2014-06-01,2014-06-06,Standard Class,Consumer,United States,Little Rock,Arkansas,South,Furniture,Furnishings,22.2,6,0.0,9.102
2014-06-01,2014-06-06,Second Class,Home Office,United States,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,0.0,580.5394
2014-06-02,2014-06-07,Standard Class,Home Office,United States,Orem,Utah,West,Furniture,Furnishings,73.32,6,0.0,21.996
2014-06-03,2014-06-07,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,515.88,6,0.0,113.4936
2014-06-03,2014-06-06,First Class,Consumer,United States,Decatur,Illinois,Central,Furniture,Furnishings,61.544,7,0.6,-40.0036
2014-06-04,2014-06-09,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Furnishings,13.96,2,0.0,6.7008
2014-06-04,2014-06-09,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Bookcases,353.568,2,0.2,-44.196
2014-06-04,2014-06-09,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Furnishings,56.96,2,0.0,21.0752
2014-06-06,2014-06-11,Standard Class,Corporate,United States,Long Beach,New York,East,Furniture,Tables,991.764,3,0.4,-347.1174
2014-06-07,2014-06-11,Second Class,Consumer,United States,Aurora,Illinois,Central,Furniture,Tables,268.935,3,0.5,-209.7693
2014-06-08,2014-06-14,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,585.552,3,0.2,73.194
2014-06-08,2014-06-12,Standard Class,Corporate,United States,Bristol,Tennessee,South,Furniture,Chairs,170.352,3,0.2,10.647
2014-06-09,2014-06-11,Second Class,Consumer,United States,Harrisonburg,Virginia,South,Furniture,Tables,1441.3,7,0.0,245.021
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092
2014-06-09,2014-06-13,Second Class,Corporate,United States,North Las Vegas,Nevada,West,Furniture,Furnishings,37.4,2,0.0,14.212
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694
2014-06-14,2014-06-20,Standard Class,Home Office,United States,Detroit,Michigan,Central,Furniture,Bookcases,212.94,3,0.0,57.4938
2014-06-15,2014-06-21,Standard Class,Corporate,United States,San Antonio,Texas,Central,Furniture,Chairs,797.944,4,0.3,-56.996
2014-06-15,2014-06-21,Standard Class,Corporate,United States,San Antonio,Texas,Central,Furniture,Tables,99.918,2,0.3,-18.5562
2014-06-16,2014-06-22,Standard Class,Consumer,United States,Mishawaka,Indiana,Central,Furniture,Chairs,647.84,8,0.0,32.392
2014-06-17,2014-06-21,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Furnishings,6.24,3,0.0,2.6208
2014-06-20,2014-06-24,Standard Class,Consumer,United States,Plano,Texas,Central,Furniture,Bookcases,193.0656,4,0.32,-19.8744
2014-06-21,2014-06-23,Second Class,Consumer,United States,Waynesboro,Virginia,South,Furniture,Furnishings,104.01,1,0.0,14.5614
2014-06-21,2014-06-25,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,3.984,1,0.2,0.6474
2014-06-22,2014-06-27,Standard Class,Consumer,United States,Chester,Pennsylvania,East,Furniture,Chairs,853.93,5,0.3,0.0
2014-06-22,2014-06-27,Standard Class,Consumer,United States,Chester,Pennsylvania,East,Furniture,Chairs,170.058,3,0.3,-4.8588
2014-06-24,2014-06-28,Standard Class,Consumer,United States,Tucson,Arizona,West,Furniture,Furnishings,4.272,2,0.2,0.9612
2014-06-25,2014-06-28,First Class,Corporate,United States,Los Angeles,California,West,Furniture,Tables,447.84,5,0.2,11.196
2014-06-27,2014-07-01,Standard Class,Consumer,United States,Southaven,Mississippi,South,Furniture,Tables,85.98,1,0.0,22.3548
2014-06-28,2014-07-02,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,1228.465,5,0.3,0.0
2014-07-05,2014-07-08,First Class,Corporate,United States,Palm Coast,Florida,South,Furniture,Furnishings,213.216,3,0.2,15.9912
2014-07-05,2014-07-08,First Class,Corporate,United States,Palm Coast,Florida,South,Furniture,Furnishings,19.52,2,0.2,5.368
2014-07-06,2014-07-12,Standard Class,Home Office,United States,El Cajon,California,West,Furniture,Chairs,478.48,2,0.2,47.848
2014-07-07,2014-07-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,172.186,2,0.3,-46.7362
2014-07-07,2014-07-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,69.008,2,0.2,12.0764
2014-07-08,2014-07-12,Standard Class,Corporate,United States,San Francisco,California,West,Furniture,Tables,502.488,3,0.2,-87.9354
2014-07-08,2014-07-10,First Class,Consumer,United States,Buffalo,New York,East,Furniture,Chairs,63.882,1,0.1,10.647
2014-07-09,2014-07-14,Standard Class,Home Office,United States,San Francisco,California,West,Furniture,Bookcases,119.833,1,0.15,7.049
2014-07-11,2014-07-15,Standard Class,Corporate,United States,Hackensack,New Jersey,East,Furniture,Chairs,854.94,3,0.0,213.735
2014-07-11,2014-07-15,Standard Class,Corporate,United States,Hackensack,New Jersey,East,Furniture,Furnishings,124.11,9,0.0,52.1262
2014-07-12,2014-07-16,Standard Class,Home Office,United States,League City,Texas,Central,Furniture,Chairs,512.358,3,0.3,-14.6388
2014-07-12,2014-07-18,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,123.136,4,0.2,13.8528
2014-07-12,2014-07-17,Standard Class,Corporate,United States,San Francisco,California,West,Furniture,Tables,698.352,3,0.2,-17.4588
2014-07-13,2014-07-17,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Tables,351.216,3,0.2,4.3902
2014-07-14,2014-07-18,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,31.984,2,0.2,1.1994
2014-07-18,2014-07-18,Same Day,Home Office,United States,Tucson,Arizona,West,Furniture,Chairs,259.136,4,0.2,-25.9136
2014-07-19,2014-07-24,Standard Class,Corporate,United States,Bristol,Connecticut,East,Furniture,Tables,70.56,1,0.3,-4.032
2014-07-20,2014-07-22,First Class,Consumer,United States,San Diego,California,West,Furniture,Furnishings,43.02,3,0.0,15.4872
2014-07-20,2014-07-24,Standard Class,Home Office,United States,Dallas,Texas,Central,Furniture,Furnishings,16.74,5,0.6,-14.229
2014-07-20,2014-07-24,Standard Class,Home Office,United States,Dallas,Texas,Central,Furniture,Chairs,981.372,2,0.3,-140.196
2014-07-21,2014-07-25,Standard Class,Corporate,United States,San Francisco,California,West,Furniture,Chairs,801.568,2,0.2,50.098
2014-07-21,2014-07-25,Standard Class,Corporate,United States,Dallas,Texas,Central,Furniture,Chairs,657.93,5,0.3,-93.99
2014-07-21,2014-07-25,Standard Class,Corporate,United States,San Francisco,California,West,Furniture,Tables,272.848,1,0.2,27.2848
2014-07-22,2014-07-24,Second Class,Consumer,United States,San Francisco,California,West,Furniture,Chairs,717.72,3,0.2,71.772
2014-07-22,2014-07-24,Second Class,Consumer,United States,San Francisco,California,West,Furniture,Tables,170.352,3,0.2,19.1646
2014-07-25,2014-07-27,Second Class,Consumer,United States,San Francisco,California,West,Furniture,Furnishings,77.92,8,0.0,34.2848
2014-07-26,2014-08-01,Standard Class,Consumer,United States,Atlanta,Georgia,South,Furniture,Furnishings,25.71,3,0.0,9.2556
2014-07-26,2014-08-01,Standard Class,Consumer,United States,Atlanta,Georgia,South,Furniture,Chairs,67.88,2,0.0,18.3276
2014-07-26,2014-08-02,Standard Class,Consumer,United States,North Las Vegas,Nevada,West,Furniture,Chairs,674.352,3,0.2,-109.5822
2014-07-26,2014-08-02,Standard Class,Consumer,United States,North Las Vegas,Nevada,West,Furniture,Furnishings,134.01,9,0.0,36.1827
2014-07-26,2014-07-30,Standard Class,Consumer,United States,San Antonio,Texas,Central,Furniture,Furnishings,17.496,3,0.6,-10.0602
2014-07-28,2014-07-28,Same Day,Consumer,United States,Apopka,Florida,South,Furniture,Furnishings,129.888,6,0.2,12.9888
2014-07-30,2014-08-05,Standard Class,Corporate,United States,Seattle,Washington,West,Furniture,Bookcases,1367.84,8,0.0,259.8896
2014-08-01,2014-08-05,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Furniture,Furnishings,44.128,4,0.2,12.1352
2014-08-03,2014-08-05,First Class,Consumer,United States,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875
2014-08-05,2014-08-07,Second Class,Corporate,United States,Meriden,Connecticut,East,Furniture,Chairs,1133.35,5,0.0,294.671
2014-08-05,2014-08-12,Standard Class,Consumer,United States,Texas City,Texas,Central,Furniture,Tables,489.23,2,0.3,41.934
2014-08-05,2014-08-09,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259
2014-08-08,2014-08-10,Second Class,Consumer,United States,Jacksonville,Florida,South,Furniture,Bookcases,155.456,4,0.2,-7.7728
2014-08-08,2014-08-12,Standard Class,Home Office,United States,Trenton,Michigan,Central,Furniture,Furnishings,53.88,6,0.0,22.6296
2014-08-08,2014-08-15,Standard Class,Consumer,United States,San Diego,California,West,Furniture,Furnishings,327.76,8,0.0,91.7728
2014-08-08,2014-08-14,Standard Class,Consumer,United States,Glendale,Arizona,West,Furniture,Furnishings,121.376,4,0.2,-3.0344
2014-08-11,2014-08-15,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Furnishings,12.35,1,0.0,5.434
2014-08-12,2014-08-16,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Furnishings,85.44,3,0.0,31.6128
2014-08-15,2014-08-19,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Chairs,195.136,4,0.2,-12.196
2014-08-16,2014-08-20,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Tables,853.092,6,0.4,-227.4912
2014-08-19,2014-08-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Bookcases,638.82,9,0.0,172.4814
2014-08-19,2014-08-21,Second Class,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,289.24,7,0.0,26.0316
2014-08-20,2014-08-25,Standard Class,Corporate,United States,Hampton,Virginia,South,Furniture,Chairs,500.24,13,0.0,145.0696
2014-08-20,2014-08-25,Second Class,Consumer,United States,Chicago,Illinois,Central,Furniture,Chairs,421.372,2,0.3,-6.0196
2014-08-23,2014-08-27,Standard Class,Consumer,United States,Denver,Colorado,West,Furniture,Furnishings,4.224,3,0.2,1.2672
2014-08-24,2014-08-26,First Class,Corporate,United States,Oceanside,New York,East,Furniture,Furnishings,13.28,2,0.0,6.3744
2014-08-25,2014-08-29,Standard Class,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,6.28,1,0.0,2.6376
2014-08-26,2014-09-01,Standard Class,Consumer,United States,Newark,Delaware,East,Furniture,Furnishings,10.68,4,0.0,4.0584
2014-08-27,2014-08-29,First Class,Corporate,United States,Springfield,Virginia,South,Furniture,Tables,1202.94,3,0.0,300.735
2014-08-27,2014-08-29,First Class,Corporate,United States,Springfield,Virginia,South,Furniture,Furnishings,29.12,4,0.0,12.5216
2014-08-29,2014-09-02,Second Class,Consumer,United States,Miami,Florida,South,Furniture,Tables,174.0585,3,0.45,-110.7645
2014-09-02,2014-09-05,First Class,Consumer,United States,Watertown,New York,East,Furniture,Furnishings,70.71,1,0.0,4.9497
2014-09-05,2014-09-07,First Class,Consumer,United States,Saint Petersburg,Florida,South,Furniture,Furnishings,31.984,2,0.2,1.999
2014-09-06,2014-09-09,First Class,Corporate,United States,San Francisco,California,West,Furniture,Furnishings,41.88,6,0.0,12.1452
2014-09-07,2014-09-10,First Class,Home Office,United States,Houston,Texas,Central,Furniture,Tables,200.795,1,0.3,-22.948
2014-09-07,2014-09-13,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,42.368,2,0.2,8.4736
2014-09-07,2014-09-13,Standard Class,Home Office,United States,Tulsa,Oklahoma,Central,Furniture,Tables,429.9,5,0.0,111.774
2014-09-07,2014-09-13,Standard Class,Home Office,United States,Tulsa,Oklahoma,Central,Furniture,Chairs,161.96,2,0.0,45.3488
2014-09-07,2014-09-12,Second Class,Consumer,United States,Tulsa,Oklahoma,Central,Furniture,Furnishings,821.88,6,0.0,213.6888
2014-09-07,2014-09-12,Second Class,Consumer,United States,Tulsa,Oklahoma,Central,Furniture,Furnishings,57.69,3,0.0,23.6529
2014-09-08,2014-09-15,Standard Class,Consumer,United States,Houston,Texas,Central,Furniture,Chairs,966.7,5,0.3,-13.81
2014-09-08,2014-09-13,Standard Class,Home Office,United States,New York City,New York,East,Furniture,Chairs,172.764,2,0.1,13.4372
2014-09-08,2014-09-14,Standard Class,Consumer,United States,Pasco,Washington,West,Furniture,Chairs,975.92,5,0.2,121.99
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
2014-09-09,2014-09-12,Second Class,Corporate,United States,Lowell,Massachusetts,East,Furniture,Chairs,785.88,6,0.0,212.1876
2014-09-09,2014-09-14,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,17.472,3,0.2,5.0232
2014-09-09,2014-09-11,First Class,Home Office,United States,Lancaster,Ohio,East,Furniture,Furnishings,60.672,6,0.2,12.8928
